Institute_Name,Type,NIRF_Rank,Annual_Fees_INR,Median_Package_LPA
"Manipal Institute of Technology, Manipal",GFTI,,,
Maulana Azad National Institute of Technology Bhopal,NIT,,,
"Mizoram University, Aizawl",GFTI,,,
Motilal Nehru National Institute of Technology Allahabad,NIT,,,
"National Institute of Advanced Manufacturing Technology, Ranchi",GFTI,,,
"National Institute of Electronics and Information Technology, Agartala",IIIT,,,
"National Institute of Electronics and Information Technology, Aizawl",IIIT,,,
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",IIIT,,,
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",IIIT,,,
"National Institute of Electronics and Information Technology, Calicut",IIIT,,,
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",IIIT,,,
"National Institute of Electronics and Information Technology, Imphal",IIIT,,,
"National Institute of Electronics and Information Technology, Kohima",IIIT,,,
"National Institute of Electronics and Information Technology, Patna (Bihar)",IIIT,,,
"National Institute of Electronics and Information Technology, Ropar (Punjab)",IIIT,,,
"National Institute of Electronics and Information Technology, Srinagar",IIIT,,,
"National Institute of Food Technology Entrepreneurship and Management, Kundli",GFTI,,,
"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",GFTI,,,
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",GFTI,,,
"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur",GFTI,,,
"National Institute of Foundry & Forge Technology, Hatia, Ranchi",GFTI,,,
National Institute of Technical Teachers Training and Research Bhopal,GFTI,,,
National Institute of Technology Agartala,NIT,,,
National Institute of Technology Arunachal Pradesh,NIT,,,
National Institute of Technology Calicut,NIT,,,
National Institute of Technology Delhi,NIT,,,
National Institute of Technology Durgapur,NIT,,,
National Institute of Technology Goa,NIT,,,
National Institute of Technology Hamirpur,NIT,,,
"National Institute of Technology Karnataka, Surathkal",NIT,,,
National Institute of Technology Meghalaya,NIT,,,
National Institute of Technology Nagaland,NIT,,,
National Institute of Technology Patna,NIT,,,
National Institute of Technology Puducherry,NIT,,,
National Institute of Technology Raipur,NIT,,,
National Institute of Technology Sikkim,NIT,,,
"National Institute of Technology, Andhra Pradesh",NIT,,,
"National Institute of Technology, Jamshedpur",NIT,,,
"National Institute of Technology, Kurukshetra",NIT,,,
"National Institute of Technology, Manipur",NIT,,,
"National Institute of Technology, Mizoram",NIT,,,
"National Institute of Technology, Rourkela",NIT,,,
"National Institute of Technology, Silchar",NIT,,,
"National Institute of Technology, Srinagar",NIT,,,
"National Institute of Technology, Tiruchirappalli",NIT,,,
"National Institute of Technology, Uttarakhand",NIT,,,
"National Institute of Technology, Warangal",NIT,,,
"Netaji Subhas University of Technology, Delhi",GFTI,,,
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",GFTI,,,
"North-Eastern Hill University, Shillong",GFTI,,,
"Pandit Deendayal Energy University, Gandhinagar",GFTI,,,
"Pondicherry Engineering College, Puducherry",GFTI,,,
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",IIIT,,,
"Puducherry Technological University, Puducherry",GFTI,,,
"Punjab Engineering College, Chandigarh",GFTI,,,
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",GFTI,,,
Sant Longowal Institute of Engineering and Technology,GFTI,,,
"Sardar Vallabhbhai National Institute of Technology, Surat",NIT,,,
"School of Engineering, Tezpur University, Napaam, Tezpur",GFTI,,,
"School of Planning & Architecture, Bhopal",GFTI,,,
"School of Planning & Architecture, New Delhi",GFTI,,,
School of Planning & Architecture: Vijayawada,GFTI,,,
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",GFTI,,,
Shri G. S. Institute of Technology and Science Indore,GFTI,,,
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",GFTI,,,
University of Hyderabad,GFTI,,,
"Visvesvaraya National Institute of Technology, Nagpur",NIT,,,
"lndian Institute of Food Processing Technology, Thanjavur, Tamil Naidu.",GFTI,,,
